Index,category index,brand,link
105,17,Logitech G,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3ALogitech+G&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_0
106,17,ASUS,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3AASUS&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_1
107,17,HVEST,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3AHVEST&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_2
108,17,AMD,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3AAMD&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_3
109,17,Logitech,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3ALogitech&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_4
110,17,Cosmic Byte,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3ACosmic+Byte&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_5
111,17,MSI,https://www.amazon.in/s?bbn=14142561031&rh=n%3A14142561031%2Cp_89%3AMSI&dc&qid=1687369720&rnid=3837712031&ref=lp_14142561031_nr_p_89_6
112,18,Acer,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3AAcer&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_0
113,18,ZEBRONICS,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3AZEBRONICS&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_1
114,18,BenQ,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3ABenQ&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_2
